user_id,age,gender,signup_date,last_login,country,purchase_amount,items_purchased,payment_method,is_returned,rating
U22002,57,Male,09-07-2019,,,7120.355806282314,4,creditcard,N,3
U06736,39,,,,germany,5643.831609978976,6,,yes,2
U00391,38,Male,09-07-2019,N/A,,7345.713880629957,1,creditcard,no,
U13986,45,male,not available,N/A,USA,6359.975015957989,ten,creditcard,Yes,1
U29090,51,Male,not available,2021-08-02 00:00:00,,7376.489769499203,8,NetBanking,,2
U12666,38,,29/10/2019,,India,5912.8861893910325,12,,Y,5
U05892,16,M,2020-07-19,2021-08-02 00:00:00,india,2872.1065546945474,12,UPI,Yes,five
U03561,41,,,,,6925.78021138284,1,,no,2
U26854,22,Other,,2021-08-02 00:00:00,india,7362.056385641511,10,Debit Card,,five
U06184,22,F,,,United States,3608.5479729399494,14,NetBanking,N,4
U19483,63,F,,,UK,4133.651714829428,3,,Y,5
U22662,23,Male,,2021-08-02 00:00:00,germany,7453.868720327757,,Credit Card,no,2
U08392,15,,2020-07-19,,,358.21469882347446,,upi,N,1
U13067,25,M,29/10/2019,,UK,1834.731564534667,11,,Yes,1
U15265,50,M,29/10/2019,N/A,U.K.,4539.548464297471,8,,,0
U19488,61,M,,,Germany,6423.469901895977,0,upi,,3
U23599,200,,2020-07-19,,,6772.406897714902,11,UPI,Yes,5
U29174,25,female,2020-07-19,,UK,5514.8894012863675,7,,yes,0
U02454,14,male,2020-07-19,,USA,4794.448043237984,5,NetBanking,N,
U11837,33,Female,09-07-2019,,india,6536.264738538777,11,COD,Yes,
U14039,52,Other,not available,,UK,4679.3554896992455,-1,,,0
U25380,74,Male,2020-07-19,N/A,USA,6186.287420180228,3,Debit Card,N,2
U19115,19,male,09-07-2019,,UK,2492.943122976764,ten,UPI,N,2
U10965,68,,,,U.S.A,5299.902742792302,2,Debit Card,Y,1
U24538,44,,09-07-2019,,germany,8138.998373510916,11,UPI,,3
U09762,40,M,not available,N/A,U.K.,5369.502233723839,,NetBanking,,
U05056,88,female,2020-07-19,N/A,UK,564.8367513642152,5,NetBanking,N,five
U14948,20,,not available,2021-08-02 00:00:00,U.S.A,2027.5996066763287,7,,yes,2
U08110,18,,29/10/2019,2021-08-02 00:00:00,U.S.A,8230.206107236962,11,,,6
U13773,75,male,not available,2021-08-02 00:00:00,germany,7590.623397420013,8,UPI,yes,2
U27266,53,,2020-07-19,,U.K.,4137.637624490357,14,,Y,five
U20224,25,M,,,,6744.798490626075,6,COD,,6
U17412,57,,not available,,germany,4743.876276424826,10,UPI,N,1
U23769,62,female,29/10/2019,2021-08-02 00:00:00,U.K.,8792.306354293696,11,upi,yes,3
U00502,74,female,09-07-2019,,India,5352.231239863769,1,creditcard,no,0
U06910,57,Female,29/10/2019,,United States,4836.678662260484,3,Debit Card,Y,5
U12685,79,,09-07-2019,,Germany,4187.014783321915,4,UPI,Y,5
U25446,55,Male,29/10/2019,,UK,6355.095501421966,10,NetBanking,N,3
U23322,84,F,2020-07-19,N/A,india,5867.80932207683,ten,UPI,Y,1
U20872,42,Other,09-07-2019,2021-08-02 00:00:00,UK,4219.624419732676,12,Credit Card,,five
U00206,61,,2020-07-19,,,5309.788233380368,10,UPI,No,6
U21518,twenty,Female,not available,,Germany,2653.0625492214863,-1,creditcard,,4
U22361,64,,09-07-2019,2021-08-02 00:00:00,india,-1115.8602316665474,1,,Yes,6
U24105,60,M,not available,N/A,india,5392.525379442246,0,creditcard,yes,5
U23419,49,,,,germany,4040.076142552241,8,,Y,
U17868,34,female,29/10/2019,,U.K.,-1192.633128676548,10,creditcard,Yes,5
U24242,72,female,29/10/2019,,United States,5100.7010617607675,6,NetBanking,Y,five
U15934,31,Other,29/10/2019,,,1179.4650701696055,10,,,5
U17247,47,female,,,India,5982.886054742209,13,UPI,No,6
U19174,18,Other,,2021-08-02 00:00:00,U.S.A,7892.421379846989,8,,,
U23792,46,,2020-07-19,,USA,8348.835595981662,13,,N,five
U08755,14,female,09-07-2019,N/A,India,6660.743209713148,3,,yes,
U21500,?,male,09-07-2019,N/A,,3079.4694999511776,0,,no,4
U12383,31,F,09-07-2019,,,5510.223499587774,ten,upi,,0
U22403,21,,not available,N/A,USA,5838.45059483051,1,UPI,,5
U18141,69,,,,USA,4847.225708423951,1,NetBanking,Yes,five
U14820,53,female,,,United States,3319.4131102785177,14,,no,five
U07574,31,male,,,U.S.A,6039.587319972312,8,Debit Card,Yes,4
U06374,15,F,29/10/2019,2021-08-02 00:00:00,india,3885.7278492408273,0,,Y,
U23276,36,Female,not available,2021-08-02 00:00:00,UK,6288.62268072496,14,Debit Card,yes,0
U01678,64,Female,,,U.S.A,5755.875779405648,8,Credit Card,Y,1
U19626,24,M,,,India,5532.580572184742,11,creditcard,,4
U21020,73,Male,09-07-2019,2021-08-02 00:00:00,Germany,8215.333334077204,3,NetBanking,yes,2
U01059,26,,09-07-2019,,USA,4237.792932102739,12,UPI,yes,2
U23052,12,F,,,,3061.7227477842052,11,Debit Card,,1
U29855,19,M,29/10/2019,,,4812.7708544703,3,UPI,,1
U16198,72,Male,,2021-08-02 00:00:00,,5874.419585948664,ten,NetBanking,N,5
U09914,72,F,09-07-2019,,germany,8226.140904810636,-1,Debit Card,No,2
U27890,71,Female,not available,,germany,6375.973780788062,2,,,5
U19541,200,Male,29/10/2019,,U.S.A,6306.635129840573,7,NetBanking,No,five
U22299,18,Female,2020-07-19,2021-08-02 00:00:00,Germany,3581.119469970993,12,COD,Yes,1
U10817,33,male,not available,N/A,germany,3389.995635924359,8,COD,,6
U10921,41,M,not available,N/A,UK,6083.350657045629,4,upi,Yes,0
U09789,12,Other,29/10/2019,,India,4658.210020906772,13,,Yes,2
U16312,42,Other,29/10/2019,,india,2844.3225077322672,4,,Yes,3
U11252,52,female,,2021-08-02 00:00:00,U.S.A,2673.6397149045256,4,COD,,0
U02693,21,male,2020-07-19,N/A,germany,6720.718094787715,1,upi,,4
U29467,200,,29/10/2019,,,5664.980163694771,1,creditcard,,2
U29723,41,,29/10/2019,N/A,USA,9033.972948990306,1,Debit Card,Yes,2
U13931,29,,not available,N/A,U.S.A,1752.1611613559248,11,,yes,1
U03627,76,F,,N/A,USA,6342.298535406626,11,,N,1
U25939,77,Male,,,,3745.4551862904555,7,UPI,yes,0
U16157,26,F,09-07-2019,2021-08-02 00:00:00,United States,8015.230011895761,13,Debit Card,No,4
U10173,twenty,,2020-07-19,N/A,india,9491.947484786957,7,,Yes,3
U21834,28,Female,09-07-2019,N/A,,7797.337176311648,2,UPI,,
U18047,13,F,,N/A,,7646.956746528123,8,UPI,N,6
U26105,26,,not available,N/A,germany,4982.770732261445,5,UPI,Y,
U10230,73,F,not available,2021-08-02 00:00:00,U.K.,5351.724860379049,6,Debit Card,,0
U15707,31,Female,2020-07-19,2021-08-02 00:00:00,Germany,5279.455853065766,12,Credit Card,yes,2
U21976,75,Other,,2021-08-02 00:00:00,germany,5901.481294449343,1,upi,,five
U11494,51,female,not available,N/A,germany,4470.853000114685,11,upi,,5
U26813,85,Male,29/10/2019,2021-08-02 00:00:00,USA,1211.7681800515325,7,creditcard,no,
U23776,54,M,2020-07-19,N/A,india,7140.44704850647,ten,Credit Card,,0
U01306,20,M,29/10/2019,N/A,,7285.952256110884,0,UPI,N,6
U28605,62,Male,,2021-08-02 00:00:00,,6179.403569303403,13,NetBanking,Yes,1
U06776,69,Female,,N/A,Germany,4693.171735994158,-1,Debit Card,no,
U27251,38,male,29/10/2019,2021-08-02 00:00:00,,4547.577651777172,12,COD,Yes,1
U29644,29,Male,09-07-2019,,germany,8683.589597287692,6,,,5
U22248,14,F,2020-07-19,N/A,India,1317.8554320773655,,,No,4
U09474,34,Other,29/10/2019,N/A,germany,1776.0431882422822,1,creditcard,yes,6
U07526,43,Female,29/10/2019,,germany,6849.36856709161,0,Credit Card,N,2
U25285,21,female,09-07-2019,2021-08-02 00:00:00,U.S.A,3509.459089661176,13,upi,Yes,2
U21959,37,,not available,N/A,,6224.888997591677,6,creditcard,,5
U05530,15,,2020-07-19,,UK,2114.3741701290273,0,,Y,4
U29320,28,male,09-07-2019,,U.S.A,6272.831192556114,3,NetBanking,no,
U20797,21,M,29/10/2019,,U.S.A,7498.253865333579,8,,no,5
U03748,34,,not available,N/A,U.S.A,6177.825138747261,-1,Credit Card,no,5
U13545,22,female,,,,2924.1203809594786,7,,yes,2
U29355,twenty,Male,not available,2021-08-02 00:00:00,india,3347.506283214284,13,creditcard,No,2
U00663,85,,,2021-08-02 00:00:00,India,2902.7785918496115,13,Debit Card,Yes,2
U01998,12,,09-07-2019,,USA,5614.86808439137,11,Credit Card,Y,4
U07994,33,Other,,,U.K.,6183.552174122828,9,Debit Card,yes,6
U28021,17,Other,,,UK,3511.364050241516,-1,NetBanking,no,3
U28319,54,,29/10/2019,,U.K.,9550.592413943315,2,UPI,yes,0
U17879,81,Female,,2021-08-02 00:00:00,UK,5858.0606930232025,13,NetBanking,Y,4
U03304,10,Other,,,United States,4223.3452751652785,ten,UPI,,0
U20147,12,,2020-07-19,,india,4765.820428063788,11,upi,Yes,5
U21616,74,M,29/10/2019,N/A,germany,6978.408584952083,13,,,2
U18237,24,male,09-07-2019,,USA,6061.504745134636,5,upi,no,five
U13808,59,male,09-07-2019,2021-08-02 00:00:00,UK,2141.994124287996,7,Debit Card,Yes,
U06585,29,Other,09-07-2019,N/A,india,3983.7137724518884,,,no,1
U29235,12,,09-07-2019,,Germany,8472.12326685782,8,upi,Y,4
U17675,70,,not available,2021-08-02 00:00:00,germany,6233.525746745574,9,NetBanking,N,1
U19965,24,Other,2020-07-19,N/A,United States,2708.2094616056884,13,Credit Card,No,2
U11649,68,,29/10/2019,,india,5921.234596563069,7,,,
U23938,63,Female,29/10/2019,,Germany,3406.785930909583,1,Debit Card,N,2
U23664,69,Other,not available,2021-08-02 00:00:00,UK,5794.638665935143,12,UPI,No,6
U01636,46,female,29/10/2019,,germany,1692.2537868211907,2,NetBanking,N,5
U20080,30,Male,09-07-2019,2021-08-02 00:00:00,U.S.A,3834.249526752913,9,Credit Card,,6
U27575,32,Female,not available,,,1872.834431309719,,upi,Y,2
U27728,27,Male,09-07-2019,,India,2506.5593611240197,-1,Credit Card,,6
U17082,26,Male,not available,,United States,3920.1683604978216,-1,,yes,2
U26736,40,Other,09-07-2019,,India,2480.149314231165,14,COD,Y,five
U28673,73,M,,2021-08-02 00:00:00,UK,6595.004511906164,5,,No,2
U04737,57,,29/10/2019,,,7226.545857653236,3,,,1
U14555,35,Other,2020-07-19,2021-08-02 00:00:00,,4447.560174766219,8,Debit Card,,5
U13877,31,F,09-07-2019,,,6688.455406609892,12,creditcard,N,
U00854,54,male,29/10/2019,N/A,india,2878.990894441537,10,,yes,2
U24548,45,female,29/10/2019,,germany,7459.251180695202,9,,Y,6
U05855,73,,not available,N/A,germany,4961.396845571884,14,Debit Card,No,1
U07392,44,Female,29/10/2019,N/A,USA,4817.5009386307365,11,,no,2
U22912,84,,,,germany,5059.095599885765,,Credit Card,N,5
U28050,?,,not available,,USA,1789.9812839785436,0,,,1
U13949,36,,29/10/2019,,U.S.A,4441.617056559723,9,UPI,,five
U21633,77,F,09-07-2019,N/A,UK,5113.957958166223,11,,,2
U21556,26,male,not available,,U.S.A,7307.4016381559395,12,,Yes,6
U18091,79,,2020-07-19,2021-08-02 00:00:00,india,6173.853097203277,9,COD,Yes,0
U27353,20,Female,2020-07-19,N/A,UK,4791.759572573582,13,creditcard,,4
U05791,14,Male,29/10/2019,2021-08-02 00:00:00,,2791.8800494808197,-1,Debit Card,No,5
U26309,67,female,,,U.K.,5086.225142543771,3,UPI,No,6
U21919,?,M,,,,3657.7306952604254,14,COD,,1
U04931,66,M,,2021-08-02 00:00:00,USA,3404.1105152352084,3,,Yes,4
U19894,83,Other,2020-07-19,,United States,5301.410149702464,-1,,,1
U00202,89,Male,29/10/2019,N/A,U.S.A,5430.445563773747,-1,COD,,4
U11447,83,M,2020-07-19,,Germany,9655.188882612172,7,creditcard,Y,4
U20602,83,F,29/10/2019,,india,3122.493620285837,ten,creditcard,No,3
U12688,200,,2020-07-19,,germany,4077.8005226688592,12,Credit Card,no,6
U25342,23,F,09-07-2019,2021-08-02 00:00:00,USA,7236.223830391869,,,N,
U04389,81,Female,not available,2021-08-02 00:00:00,,2389.6117212881986,6,Credit Card,N,6
U02327,10,,not available,,United States,2926.7811111711717,13,creditcard,,4
U08004,25,female,2020-07-19,2021-08-02 00:00:00,,2978.4441149994227,12,UPI,Yes,6
U19315,35,F,29/10/2019,,germany,7090.682724654621,6,UPI,Yes,2
U07777,58,Male,29/10/2019,N/A,UK,6230.281938298836,11,upi,yes,1
U00197,51,Female,,,India,4116.640949617579,14,NetBanking,no,6
U23509,79,Female,,,U.S.A,4398.065450921701,4,,Yes,five
U01930,75,female,2020-07-19,N/A,U.S.A,3289.8710392110697,13,NetBanking,no,five
U11774,62,Male,29/10/2019,N/A,,6307.857971928834,ten,creditcard,Y,1
U15087,18,Female,09-07-2019,2021-08-02 00:00:00,India,2965.0229956701155,ten,UPI,Yes,2
U22671,78,Other,not available,N/A,U.S.A,7854.1838927671615,2,Credit Card,,5
U25184,49,F,29/10/2019,,germany,6977.2408448933775,3,creditcard,,five
U27848,65,female,,N/A,,4451.422719451421,2,UPI,yes,4
U09339,14,Male,2020-07-19,,India,6543.921236477905,6,creditcard,N,0
U20666,65,,29/10/2019,N/A,germany,6611.510449576839,,,no,
U11589,81,female,29/10/2019,,india,3132.5406047899087,10,creditcard,No,0
U18895,14,,2020-07-19,,UK,5863.783698525736,-1,COD,N,5
U15708,78,F,09-07-2019,2021-08-02 00:00:00,U.K.,3485.7175265082424,10,,,4
U26370,61,Other,not available,,U.S.A,2687.336963242867,1,,N,0
U17043,twenty,Male,09-07-2019,2021-08-02 00:00:00,India,5301.436415485223,13,NetBanking,No,6
U02811,82,F,09-07-2019,2021-08-02 00:00:00,Germany,5708.751800685645,4,NetBanking,No,five
U23482,42,M,,2021-08-02 00:00:00,U.K.,6790.840150198077,6,Credit Card,Yes,4
U14243,31,M,not available,N/A,India,5964.785119738626,ten,,,5
U06546,200,M,09-07-2019,2021-08-02 00:00:00,germany,2741.360017109304,14,NetBanking,N,
U25945,24,F,29/10/2019,N/A,UK,5419.728208175786,11,COD,N,1
U01986,74,,29/10/2019,,United States,6991.573639080866,9,Credit Card,yes,1
U08338,80,M,,,,2783.0359953110647,13,Credit Card,Y,
U11411,32,M,not available,,India,2986.521280846402,8,COD,N,five
U02911,15,female,2020-07-19,2021-08-02 00:00:00,germany,5033.090523108989,4,upi,N,1
U01734,-5,F,29/10/2019,,Germany,4479.556857086145,3,Debit Card,N,1
U18227,67,F,2020-07-19,2021-08-02 00:00:00,India,4373.337715862552,10,NetBanking,Y,5
U08680,35,Other,,,USA,5581.910758457886,0,,Y,five
U19360,21,Other,29/10/2019,,,5262.046942677152,12,NetBanking,Yes,0
U18343,86,M,29/10/2019,2021-08-02 00:00:00,,4121.307951040581,ten,NetBanking,,6
U05759,86,female,09-07-2019,N/A,U.K.,5622.452873834624,-1,,yes,5
U23078,11,Male,,2021-08-02 00:00:00,USA,4234.540352356929,-1,COD,Yes,
U02385,41,Male,,,U.S.A,5501.782069963685,-1,creditcard,,4
U11111,59,male,09-07-2019,,U.S.A,4307.431199418561,14,upi,Y,4
U04736,70,male,,N/A,India,5653.613981531018,0,UPI,no,4
U01802,20,Other,09-07-2019,2021-08-02 00:00:00,Germany,5783.255868698834,6,creditcard,No,4
U08155,77,female,09-07-2019,2021-08-02 00:00:00,U.K.,5080.590227816441,2,Credit Card,,0
U08120,43,M,09-07-2019,,USA,6630.2126849350825,4,Debit Card,Y,
U06616,89,Other,not available,2021-08-02 00:00:00,,1947.0699772547023,3,COD,yes,1
U14257,17,M,29/10/2019,2021-08-02 00:00:00,germany,4604.308237824549,14,upi,yes,
U14486,17,M,29/10/2019,,india,4233.425038247455,5,,,1
U21918,24,Female,29/10/2019,2021-08-02 00:00:00,U.S.A,5480.01502212621,8,Debit Card,no,3
U20445,14,female,not available,,India,5852.663721668713,,COD,yes,0
U27945,28,,29/10/2019,N/A,U.K.,784.3923584841414,3,creditcard,,5
U16646,83,,09-07-2019,,germany,5169.622536377088,ten,Debit Card,,5
U14075,18,female,2020-07-19,2021-08-02 00:00:00,,5713.350587344953,7,UPI,,0
U22671,66,,2020-07-19,,Germany,1969.5808962499173,-1,COD,,1
U25199,63,M,29/10/2019,N/A,U.S.A,7446.160221190083,6,COD,,4
U09208,38,Other,,N/A,India,5350.772315818263,10,Debit Card,,0
U16371,28,M,29/10/2019,,Germany,3078.4786565126897,10,upi,N,4
U11835,86,M,not available,N/A,U.K.,6054.851279241362,13,UPI,,0
U13168,55,Female,,,,5230.6065810271575,5,UPI,N,five
U02049,89,male,2020-07-19,,India,6574.6687493662685,6,,,1
U05423,71,Other,09-07-2019,,India,1758.8635939155647,12,,Yes,2
U14589,69,F,29/10/2019,2021-08-02 00:00:00,U.S.A,6937.174927286536,10,UPI,N,4
U28299,14,M,29/10/2019,,germany,4722.844613081582,12,Debit Card,yes,0
U20932,42,Male,29/10/2019,2021-08-02 00:00:00,india,-47.26552507190263,12,NetBanking,no,5
U19492,,M,,N/A,,7761.297910686901,1,NetBanking,N,0
