,user_id,age,gender,signup_date,last_login,country,purchase_amount,items_purchased,payment_method,is_returned,rating
68,U25939,85,M,2020-07-19,,,745.9443,5,Debitcard,Unknown,5
69,U22619,10,F,09-07-2019,,United states,1891.0094,5,Upi,Y,1
70,U21870,25,M,2020-07-19,,U.s.a,5633.913,2,Creditcard,Y,5
71,U23483,81,M,09-07-2019,,India,8818.052,0,Upi,N,3
72,U26054,55,Other,29/10/2019,,Uk,1907.7855,6,Upi,N,2
73,U15787,19,,09-07-2019,,USA,7356.6553,7,Netbanking,Y,5
74,U27132,42,M,29/10/2019,,,6083.6226,10,Cod,N,3
75,U17159,50,,29/10/2019,,U.s.a,221.44923,10,Upi,N,5
76,U12206,60,,29/10/2019,,USA,6884.725,14,Upi,N,2
77,U08226,31,F,not available,2021-08-02 00:00:00,USA,5853.52,5,Netbanking,N,5
78,U14541,25,F,not available,2021-08-02 00:00:00,U.k.,6560.609,6,Cod,Y,2
79,U03152,,M,2020-07-19,2021-08-02 00:00:00,India,3464.6443,10,Unknown,Unknown,3
80,U26531,84,F,29/10/2019,,India,8571.981,13,Cod,Y,2
81,U01585,71,,not available,,,246.18903,4,Upi,N,1
82,U03943,62,Other,29/10/2019,2021-08-02 00:00:00,India,2975.7092,2,Unknown,N,1
83,U23939,84,,not available,2021-08-02 00:00:00,India,-759.8403,11,Creditcard,N,3
84,U19457,23,F,not available,,Uk,4711.6406,0,Debitcard,N,2
85,U01021,68,F,,,Germany,1784.4845,8,Credit card,Unknown,5
86,U11653,35,F,,2021-08-02 00:00:00,U.k.,3801.3157,11,Upi,Unknown,3
87,U10805,53,F,29/10/2019,,,3894.318,7,Unknown,N,4
88,U13417,29,F,not available,,U.k.,4563.11,12,Upi,N,2
89,U20227,-5,,,,U.k.,-1115.5974,1,Cod,N,3
90,U07989,14,Other,2020-07-19,,Germany,2339.0566,0,Debitcard,Y,0
91,U09692,74,M,29/10/2019,,India,2180.5212,13,Cod,N,3
92,U12990,20,Other,not available,,United states,3075.5305,10,Upi,Y,4
93,U06873,56,M,not available,,Uk,6999.429,0,Debitcard,Unknown,5
94,U05675,19,M,,,India,5174.136,8,Credit card,Unknown,1
95,U00161,70,F,2020-07-19,,Germany,5845.7886,0,Cod,Unknown,2
96,U04297,54,M,29/10/2019,2021-08-02 00:00:00,,6003.8257,6,Upi,Unknown,0
97,U26557,56,,29/10/2019,,,2375.637,7,Credit card,Y,3
98,U00995,43,M,,2021-08-02 00:00:00,Uk,5466.838,12,Creditcard,N,3
99,U29487,22,M,09-07-2019,,India,5402.7246,7,Debitcard,Y,2
100,U11534,32,M,2020-07-19,2021-08-02 00:00:00,India,2902.5566,1,Creditcard,N,5
101,U29127,45,F,2020-07-19,2021-08-02 00:00:00,USA,2530.0347,10,Debitcard,Y,3
102,U07629,72,M,29/10/2019,2021-08-02 00:00:00,Uk,-3748.0857,13,Debitcard,Unknown,3
103,U28374,85,M,09-07-2019,2021-08-02 00:00:00,United states,3312.5264,14,Upi,Unknown,0
104,U25851,56,Other,not available,,U.k.,3611.0022,10,Creditcard,Unknown,5
105,U01016,75,M,not available,,Uk,2827.9927,6,Creditcard,N,5
106,U24253,-5,M,09-07-2019,,India,3561.9358,5,Unknown,N,3
107,U22823,89,F,,,Germany,4255.72,0,Cod,Unknown,5
108,U24276,23,,not available,,Germany,1096.8021,10,Unknown,Y,5
109,U23247,62,F,29/10/2019,,U.s.a,5052.937,8,Netbanking,Y,2
110,U24300,75,F,,,,5521.2793,4,Unknown,Unknown,0
111,U08529,58,M,2020-07-19,,U.s.a,7563.6924,13,Netbanking,N,3
112,U17262,25,F,,,Germany,7916.142,10,Upi,N,4
113,U09268,77,,,2021-08-02 00:00:00,United states,7137.3823,12,Unknown,N,2
114,U21271,52,M,29/10/2019,,,4897.5786,10,Creditcard,Y,5
115,U12185,86,M,,,U.s.a,3492.4817,6,Credit card,N,5
116,U21243,74,M,2020-07-19,,India,5981.8213,8,Cod,Y,5
117,U06331,18,F,29/10/2019,,USA,5100.116,1,Debitcard,Unknown,5
118,U08571,30,Other,,,U.s.a,6744.546,0,Cod,Y,2
119,U25068,?,M,not available,2021-08-02 00:00:00,India,5324.018,13,Cod,Y,1
120,U07208,-5,,29/10/2019,,U.k.,4662.8037,7,Credit card,Y,1
121,U05276,52,F,not available,,India,2242.049,13,Creditcard,N,1
122,U18446,75,M,29/10/2019,,,6472.6787,7,Cod,Unknown,3
123,U28460,13,,not available,,,5331.2534,4,Upi,N,3
124,U16448,16,,2020-07-19,,U.k.,5429.7866,14,Unknown,N,3
125,U16216,-5,Other,29/10/2019,,Uk,1818.7954,8,Debitcard,N,0
126,U08006,67,,29/10/2019,,,6837.2695,12,Credit card,Unknown,1
127,U02568,13,M,not available,,,6047.44,1,Credit card,Y,3
128,U21847,29,F,29/10/2019,2021-08-02 00:00:00,U.k.,5287.3228,0,Creditcard,Unknown,3
129,U29824,44,,not available,2021-08-02 00:00:00,,4713.6562,7,Upi,Unknown,5
130,U02027,68,F,,,India,5119.3887,9,Debitcard,Unknown,5
131,U02695,200,M,29/10/2019,,Germany,5634.644,14,Debitcard,Y,2
132,U26071,54,M,09-07-2019,2021-08-02 00:00:00,U.s.a,3356.691,9,Debitcard,Y,3
133,U15422,23,,29/10/2019,2021-08-02 00:00:00,India,4593.156,1,Unknown,Y,0
134,U05258,31,F,09-07-2019,,U.k.,5787.3633,6,Debitcard,Y,3
135,U22002,57,M,09-07-2019,,,7120.356,4,Creditcard,N,3
136,U06736,39,,,,Germany,5643.8315,6,Unknown,Y,2
137,U00391,38,M,09-07-2019,,,7345.714,1,Creditcard,N,3
138,U13986,45,M,not available,,USA,6359.975,10,Creditcard,Y,1
139,U29090,51,M,not available,2021-08-02 00:00:00,,7376.4897,8,Netbanking,Unknown,2
140,U12666,38,,29/10/2019,,India,5912.886,12,Unknown,Y,5
141,U05892,16,M,2020-07-19,2021-08-02 00:00:00,India,2872.1064,12,Upi,Y,5
142,U03561,41,,,,,6925.7803,1,Unknown,N,2
143,U26854,22,Other,,2021-08-02 00:00:00,India,7362.056,10,Debitcard,Unknown,5
144,U06184,22,F,,,United states,3608.5479,14,Netbanking,N,4
145,U19483,63,F,,,Uk,4133.652,3,Unknown,Y,5
146,U22662,23,M,,2021-08-02 00:00:00,Germany,7453.8687,7,Credit card,N,2
147,U08392,15,,2020-07-19,,,358.2147,7,Upi,N,1
148,U13067,25,M,29/10/2019,,Uk,1834.7316,11,Unknown,Y,1
149,U15265,50,M,29/10/2019,,U.k.,4539.5483,8,Unknown,Unknown,0
150,U19488,61,M,,,Germany,6423.4697,0,Upi,Unknown,3
151,U23599,200,,2020-07-19,,,6772.4067,11,Upi,Y,5
152,U29174,25,F,2020-07-19,,Uk,5514.889,7,Unknown,Y,0
153,U02454,14,M,2020-07-19,,USA,4794.448,5,Netbanking,N,3
154,U11837,33,F,09-07-2019,,India,6536.2646,11,Cod,Y,3
155,U14039,52,Other,not available,,Uk,4679.3555,0,Unknown,Unknown,0
156,U25380,74,M,2020-07-19,,USA,6186.2876,3,Debitcard,N,2
157,U19115,19,M,09-07-2019,,Uk,2492.943,10,Upi,N,2
158,U10965,68,,,,U.s.a,5299.903,2,Debitcard,Y,1
159,U24538,44,,09-07-2019,,Germany,8138.9985,11,Upi,Unknown,3
160,U09762,40,M,not available,,U.k.,5369.5024,7,Netbanking,Unknown,3
161,U05056,88,F,2020-07-19,,Uk,564.83673,5,Netbanking,N,5
162,U14948,20,,not available,2021-08-02 00:00:00,U.s.a,2027.5996,7,Unknown,Y,2
163,U08110,18,,29/10/2019,2021-08-02 00:00:00,U.s.a,8230.206,11,Unknown,Unknown,5
164,U13773,75,M,not available,2021-08-02 00:00:00,Germany,7590.6235,8,Upi,Y,2
165,U27266,53,,2020-07-19,,U.k.,4137.6377,14,Unknown,Y,5
166,U20224,25,M,,,,6744.7983,6,Cod,Unknown,5
167,U17412,57,,not available,,Germany,4743.8765,10,Upi,N,1
168,U23769,62,F,29/10/2019,2021-08-02 00:00:00,U.k.,8792.307,11,Upi,Y,3
169,U00502,74,F,09-07-2019,,India,5352.2314,1,Creditcard,N,0
170,U06910,57,F,29/10/2019,,United states,4836.6787,3,Debitcard,Y,5
171,U12685,79,,09-07-2019,,Germany,4187.0146,4,Upi,Y,5
172,U25446,55,M,29/10/2019,,Uk,6355.0957,10,Netbanking,N,3
173,U23322,84,F,2020-07-19,,India,5867.809,10,Upi,Y,1
174,U20872,42,Other,09-07-2019,2021-08-02 00:00:00,Uk,4219.6245,12,Credit card,Unknown,5
175,U00206,61,,2020-07-19,,,5309.788,10,Upi,N,5
176,U21518,20,F,not available,,Germany,2653.0625,0,Creditcard,Unknown,4
177,U22361,64,,09-07-2019,2021-08-02 00:00:00,India,-1115.8602,1,Unknown,Y,5
178,U24105,60,M,not available,,India,5392.5254,0,Creditcard,Y,5
179,U23419,49,,,,Germany,4040.0762,8,Unknown,Y,3
180,U17868,34,F,29/10/2019,,U.k.,-1192.6332,10,Creditcard,Y,5
181,U24242,72,F,29/10/2019,,United states,5100.701,6,Netbanking,Y,5
182,U15934,31,Other,29/10/2019,,,1179.4651,10,Unknown,Unknown,5
183,U17247,47,F,,,India,5982.886,13,Upi,N,5
184,U19174,18,Other,,2021-08-02 00:00:00,U.s.a,7892.4214,8,Unknown,Unknown,3
185,U23792,46,,2020-07-19,,USA,8348.836,13,Unknown,N,5
186,U08755,14,F,09-07-2019,,India,6660.743,3,Unknown,Y,3
187,U21500,?,M,09-07-2019,,,3079.4695,0,Unknown,N,4
188,U12383,31,F,09-07-2019,,,5510.2236,10,Upi,Unknown,0
189,U22403,21,,not available,,USA,5838.4507,1,Upi,Unknown,5
190,U18141,69,,,,USA,4847.2256,1,Netbanking,Y,5
191,U14820,53,F,,,United states,3319.413,14,Unknown,N,5
192,U07574,31,M,,,U.s.a,6039.5874,8,Debitcard,Y,4
193,U06374,15,F,29/10/2019,2021-08-02 00:00:00,India,3885.7278,0,Unknown,Y,3
194,U23276,36,F,not available,2021-08-02 00:00:00,Uk,6288.6226,14,Debitcard,Y,0
195,U01678,64,F,,,U.s.a,5755.876,8,Credit card,Y,1
196,U19626,24,M,,,India,5532.5806,11,Creditcard,Unknown,4
197,U21020,73,M,09-07-2019,2021-08-02 00:00:00,Germany,8215.333,3,Netbanking,Y,2
198,U01059,26,,09-07-2019,,USA,4237.793,12,Upi,Y,2
199,U23052,12,F,,,,3061.7227,11,Debitcard,Unknown,1
200,U29855,19,M,29/10/2019,,,4812.771,3,Upi,Unknown,1
201,U16198,72,M,,2021-08-02 00:00:00,,5874.4194,10,Netbanking,N,5
202,U09914,72,F,09-07-2019,,Germany,8226.141,0,Debitcard,N,2
203,U27890,71,F,not available,,Germany,6375.9736,2,Unknown,Unknown,5
204,U19541,200,M,29/10/2019,,U.s.a,6306.6353,7,Netbanking,N,5
205,U22299,18,F,2020-07-19,2021-08-02 00:00:00,Germany,3581.1194,12,Cod,Y,1
206,U10817,33,M,not available,,Germany,3389.9956,8,Cod,Unknown,5
207,U10921,41,M,not available,,Uk,6083.3506,4,Upi,Y,0
208,U09789,12,Other,29/10/2019,,India,4658.21,13,Unknown,Y,2
209,U16312,42,Other,29/10/2019,,India,2844.3225,4,Unknown,Y,3
210,U11252,52,F,,2021-08-02 00:00:00,U.s.a,2673.6396,4,Cod,Unknown,0
211,U02693,21,M,2020-07-19,,Germany,6720.7183,1,Upi,Unknown,4
212,U29467,200,,29/10/2019,,,5664.98,1,Creditcard,Unknown,2
213,U29723,41,,29/10/2019,,USA,9033.973,1,Debitcard,Y,2
214,U13931,29,,not available,,U.s.a,1752.1611,11,Unknown,Y,1
215,U03627,76,F,,,USA,6342.2983,11,Unknown,N,1
216,U25939,77,M,,,,3745.455,7,Upi,Y,0
217,U16157,26,F,09-07-2019,2021-08-02 00:00:00,United states,8015.23,13,Debitcard,N,4
218,U10173,20,,2020-07-19,,India,9491.947,7,Unknown,Y,3
219,U21834,28,F,09-07-2019,,,7797.3374,2,Upi,Unknown,3
220,U18047,13,F,,,,7646.9565,8,Upi,N,5
221,U26105,26,,not available,,Germany,4982.7705,5,Upi,Y,3
222,U10230,73,F,not available,2021-08-02 00:00:00,U.k.,5351.725,6,Debitcard,Unknown,0
223,U15707,31,F,2020-07-19,2021-08-02 00:00:00,Germany,5279.456,12,Credit card,Y,2
224,U21976,75,Other,,2021-08-02 00:00:00,Germany,5901.4814,1,Upi,Unknown,5
225,U11494,51,F,not available,,Germany,4470.853,11,Upi,Unknown,5
226,U26813,85,M,29/10/2019,2021-08-02 00:00:00,USA,1211.7682,7,Creditcard,N,3
227,U23776,54,M,2020-07-19,,India,7140.4473,10,Credit card,Unknown,0
228,U01306,20,M,29/10/2019,,,7285.952,0,Upi,N,5
229,U28605,62,M,,2021-08-02 00:00:00,,6179.404,13,Netbanking,Y,1
230,U06776,69,F,,,Germany,4693.172,0,Debitcard,N,3
231,U27251,38,M,29/10/2019,2021-08-02 00:00:00,,4547.5776,12,Cod,Y,1
232,U29644,29,M,09-07-2019,,Germany,8683.59,6,Unknown,Unknown,5
233,U22248,14,F,2020-07-19,,India,1317.8555,7,Unknown,N,4
234,U09474,34,Other,29/10/2019,,Germany,1776.0432,1,Creditcard,Y,5
235,U07526,43,F,29/10/2019,,Germany,6849.3687,0,Credit card,N,2
236,U25285,21,F,09-07-2019,2021-08-02 00:00:00,U.s.a,3509.459,13,Upi,Y,2
237,U21959,37,,not available,,,6224.889,6,Creditcard,Unknown,5
238,U05530,15,,2020-07-19,,Uk,2114.3743,0,Unknown,Y,4
239,U29320,28,M,09-07-2019,,U.s.a,6272.831,3,Netbanking,N,3
240,U20797,21,M,29/10/2019,,U.s.a,7498.254,8,Unknown,N,5
241,U03748,34,,not available,,U.s.a,6177.825,0,Credit card,N,5
242,U13545,22,F,,,,2924.1204,7,Unknown,Y,2
243,U29355,20,M,not available,2021-08-02 00:00:00,India,3347.5063,13,Creditcard,N,2
244,U00663,85,,,2021-08-02 00:00:00,India,2902.7786,13,Debitcard,Y,2
245,U01998,12,,09-07-2019,,USA,5614.868,11,Credit card,Y,4
246,U07994,33,Other,,,U.k.,6183.5522,9,Debitcard,Y,5
247,U28021,17,Other,,,Uk,3511.364,0,Netbanking,N,3
248,U28319,54,,29/10/2019,,U.k.,9550.593,2,Upi,Y,0
249,U17879,81,F,,2021-08-02 00:00:00,Uk,5858.0605,13,Netbanking,Y,4
250,U03304,10,Other,,,United states,4223.345,10,Upi,Unknown,0
251,U20147,12,,2020-07-19,,India,4765.8203,11,Upi,Y,5
252,U21616,74,M,29/10/2019,,Germany,6978.4087,13,Unknown,Unknown,2
253,U18237,24,M,09-07-2019,,USA,6061.505,5,Upi,N,5
254,U13808,59,M,09-07-2019,2021-08-02 00:00:00,Uk,2141.9941,7,Debitcard,Y,3
255,U06585,29,Other,09-07-2019,,India,3983.7139,7,Unknown,N,1
256,U29235,12,,09-07-2019,,Germany,8472.123,8,Upi,Y,4
257,U17675,70,,not available,2021-08-02 00:00:00,Germany,6233.526,9,Netbanking,N,1
258,U19965,24,Other,2020-07-19,,United states,2708.2095,13,Credit card,N,2
259,U11649,68,,29/10/2019,,India,5921.2344,7,Unknown,Unknown,3
260,U23938,63,F,29/10/2019,,Germany,3406.786,1,Debitcard,N,2
261,U23664,69,Other,not available,2021-08-02 00:00:00,Uk,5794.6387,12,Upi,N,5
262,U01636,46,F,29/10/2019,,Germany,1692.2538,2,Netbanking,N,5
263,U20080,30,M,09-07-2019,2021-08-02 00:00:00,U.s.a,3834.2495,9,Credit card,Unknown,5
264,U27575,32,F,not available,,,1872.8345,7,Upi,Y,2
265,U27728,27,M,09-07-2019,,India,2506.5593,0,Credit card,Unknown,5
266,U17082,26,M,not available,,United states,3920.1685,0,Unknown,Y,2
267,U26736,40,Other,09-07-2019,,India,2480.1494,14,Cod,Y,5
268,U28673,73,M,,2021-08-02 00:00:00,Uk,6595.0044,5,Unknown,N,2
269,U04737,57,,29/10/2019,,,7226.546,3,Unknown,Unknown,1
270,U14555,35,Other,2020-07-19,2021-08-02 00:00:00,,4447.56,8,Debitcard,Unknown,5
271,U13877,31,F,09-07-2019,,,6688.4556,12,Creditcard,N,3
272,U00854,54,M,29/10/2019,,India,2878.991,10,Unknown,Y,2
273,U24548,45,F,29/10/2019,,Germany,7459.251,9,Unknown,Y,5
274,U05855,73,,not available,,Germany,4961.397,14,Debitcard,N,1
275,U07392,44,F,29/10/2019,,USA,4817.501,11,Unknown,N,2
276,U22912,84,,,,Germany,5059.0957,7,Credit card,N,5
277,U28050,?,,not available,,USA,1789.9813,0,Unknown,Unknown,1
278,U13949,36,,29/10/2019,,U.s.a,4441.617,9,Upi,Unknown,5
279,U21633,77,F,09-07-2019,,Uk,5113.958,11,Unknown,Unknown,2
280,U21556,26,M,not available,,U.s.a,7307.402,12,Unknown,Y,5
281,U18091,79,,2020-07-19,2021-08-02 00:00:00,India,6173.853,9,Cod,Y,0
282,U27353,20,F,2020-07-19,,Uk,4791.76,13,Creditcard,Unknown,4
283,U05791,14,M,29/10/2019,2021-08-02 00:00:00,,2791.8801,0,Debitcard,N,5
284,U26309,67,F,,,U.k.,5086.225,3,Upi,N,5
285,U21919,?,M,,,,3657.7307,14,Cod,Unknown,1
286,U04931,66,M,,2021-08-02 00:00:00,USA,3404.1106,3,Unknown,Y,4
287,U19894,83,Other,2020-07-19,,United states,5301.41,0,Unknown,Unknown,1
288,U00202,89,M,29/10/2019,,U.s.a,5430.446,0,Cod,Unknown,4
289,U11447,83,M,2020-07-19,,Germany,9655.188,7,Creditcard,Y,4
290,U20602,83,F,29/10/2019,,India,3122.4937,10,Creditcard,N,3
291,U12688,200,,2020-07-19,,Germany,4077.8005,12,Credit card,N,5
292,U25342,23,F,09-07-2019,2021-08-02 00:00:00,USA,7236.2236,7,Unknown,N,3
293,U04389,81,F,not available,2021-08-02 00:00:00,,2389.6118,6,Credit card,N,5
294,U02327,10,,not available,,United states,2926.781,13,Creditcard,Unknown,4
295,U08004,25,F,2020-07-19,2021-08-02 00:00:00,,2978.444,12,Upi,Y,5
296,U19315,35,F,29/10/2019,,Germany,7090.6826,6,Upi,Y,2
297,U07777,58,M,29/10/2019,,Uk,6230.2817,11,Upi,Y,1
298,U00197,51,F,,,India,4116.641,14,Netbanking,N,5
299,U23509,79,F,,,U.s.a,4398.0654,4,Unknown,Y,5
300,U01930,75,F,2020-07-19,,U.s.a,3289.871,13,Netbanking,N,5
301,U11774,62,M,29/10/2019,,,6307.858,10,Creditcard,Y,1
302,U15087,18,F,09-07-2019,2021-08-02 00:00:00,India,2965.023,10,Upi,Y,2
303,U22671,78,Other,not available,,U.s.a,7854.184,2,Credit card,Unknown,5
304,U25184,49,F,29/10/2019,,Germany,6977.2407,3,Creditcard,Unknown,5
305,U27848,65,F,,,,4451.423,2,Upi,Y,4
306,U09339,14,M,2020-07-19,,India,6543.9214,6,Creditcard,N,0
307,U20666,65,,29/10/2019,,Germany,6611.5103,7,Unknown,N,3
308,U11589,81,F,29/10/2019,,India,3132.5405,10,Creditcard,N,0
309,U18895,14,,2020-07-19,,Uk,5863.7837,0,Cod,N,5
310,U15708,78,F,09-07-2019,2021-08-02 00:00:00,U.k.,3485.7175,10,Unknown,Unknown,4
311,U26370,61,Other,not available,,U.s.a,2687.337,1,Unknown,N,0
312,U17043,20,M,09-07-2019,2021-08-02 00:00:00,India,5301.4365,13,Netbanking,N,5
313,U02811,82,F,09-07-2019,2021-08-02 00:00:00,Germany,5708.752,4,Netbanking,N,5
314,U23482,42,M,,2021-08-02 00:00:00,U.k.,6790.8403,6,Credit card,Y,4
315,U14243,31,M,not available,,India,5964.785,10,Unknown,Unknown,5
316,U06546,200,M,09-07-2019,2021-08-02 00:00:00,Germany,2741.36,14,Netbanking,N,3
317,U25945,24,F,29/10/2019,,Uk,5419.728,11,Cod,N,1
318,U01986,74,,29/10/2019,,United states,6991.5737,9,Credit card,Y,1
319,U08338,80,M,,,,2783.036,13,Credit card,Y,3
320,U11411,32,M,not available,,India,2986.5212,8,Cod,N,5
321,U02911,15,F,2020-07-19,2021-08-02 00:00:00,Germany,5033.0903,4,Upi,N,1
322,U01734,-5,F,29/10/2019,,Germany,4479.5566,3,Debitcard,N,1
323,U18227,67,F,2020-07-19,2021-08-02 00:00:00,India,4373.338,10,Netbanking,Y,5
324,U08680,35,Other,,,USA,5581.9106,0,Unknown,Y,5
325,U19360,21,Other,29/10/2019,,,5262.047,12,Netbanking,Y,0
326,U18343,86,M,29/10/2019,2021-08-02 00:00:00,,4121.308,10,Netbanking,Unknown,5
327,U05759,86,F,09-07-2019,,U.k.,5622.4526,0,Unknown,Y,5
328,U23078,11,M,,2021-08-02 00:00:00,USA,4234.5405,0,Cod,Y,3
329,U02385,41,M,,,U.s.a,5501.782,0,Creditcard,Unknown,4
330,U11111,59,M,09-07-2019,,U.s.a,4307.431,14,Upi,Y,4
331,U04736,70,M,,,India,5653.614,0,Upi,N,4
332,U01802,20,Other,09-07-2019,2021-08-02 00:00:00,Germany,5783.256,6,Creditcard,N,4
333,U08155,77,F,09-07-2019,2021-08-02 00:00:00,U.k.,5080.5903,2,Credit card,Unknown,0
334,U08120,43,M,09-07-2019,,USA,6630.213,4,Debitcard,Y,3
335,U06616,89,Other,not available,2021-08-02 00:00:00,,1947.07,3,Cod,Y,1
336,U14257,17,M,29/10/2019,2021-08-02 00:00:00,Germany,4604.308,14,Upi,Y,3
337,U14486,17,M,29/10/2019,,India,4233.425,5,Unknown,Unknown,1
338,U21918,24,F,29/10/2019,2021-08-02 00:00:00,U.s.a,5480.015,8,Debitcard,N,3
339,U20445,14,F,not available,,India,5852.6636,7,Cod,Y,0
340,U27945,28,,29/10/2019,,U.k.,784.39233,3,Creditcard,Unknown,5
341,U16646,83,,09-07-2019,,Germany,5169.6226,10,Debitcard,Unknown,5
342,U14075,18,F,2020-07-19,2021-08-02 00:00:00,,5713.3506,7,Upi,Unknown,0
343,U22671,66,,2020-07-19,,Germany,1969.5809,0,Cod,Unknown,1
344,U25199,63,M,29/10/2019,,U.s.a,7446.16,6,Cod,Unknown,4
345,U09208,38,Other,,,India,5350.7725,10,Debitcard,Unknown,0
346,U16371,28,M,29/10/2019,,Germany,3078.4788,10,Upi,N,4
347,U11835,86,M,not available,,U.k.,6054.851,13,Upi,Unknown,0
348,U13168,55,F,,,,5230.6064,5,Upi,N,5
